index,acct_num,ccid,zip4_code,lobs,govt_issued_id,phone_number,first_name,last_name,address_line_one,city_name,state_code,postal_code,country
1234566,9100055032276,CC00000001,Null,RETAIL,3340783723534,2175557570,LOIS,WILLIAMS,936 CARDINAL LANE,CHAMPAIGN,IL,61820,UNITED STATES
1234567,9100050039685,CC00000002,56799,CARD,4413416413453,9185552699,JULIE,BELL,3714 HENRY FORD AVENUE,AFTON,OK,74331,UNITED STATES
1234568,5189413110708,CC00000003,Null,WEATH MANAGEMENT,9093134663453,5595550732,JESUS,MARESCOT,178 CARLING CT,SAN JOSE,CA,95111,UNITED STATES
1234569,54241810713641,CC00000004,Null,CORPORATE,4357890873453,Null,KING,MAKER,13TH ST,PLANO,TX,75074,UNITED STATES
1234570,517908006006,CC00000005,Null,CARD,50202221712312,7015555173,SUSAN,BLAKELY,3056 COURTRIGHT STREET,DICKINSON,ND,58601,UNITED STATES
1234571,5179080064702,CC00000006,67564,MORGAGE,5524154083242,45676549,ERICA,HWANG,486 DUCK CREEK ROAD,SAN FRANCISCO,CA,94107,UNITED STATES
1234572,5424181321715,CC00000007,9466,WEATH MANAGEMENT,3700047723423,78987675,MARCELLA,MCDONNELL,12242 E WHITMORE AVE,HUGHSON,CA,95326,UNITED STATES
1234573,5285001306647,CC00000008,2715,RETAIL,3423423422342,Null,SAM,SAMY,6500 CAMPUS CIRCLE DR E,IRVING,TX,75063,UNITED STATES
1234574,5424185127468,CC00000009,2127,CORPORATE,7467698866572,Null,NIH,FYTF HIUHIU,2887 MARK TWAIN DR,FARMERS BRANCH,TX,75234,UNITED STATES
1234575,9100055619353,CC00000010,Null,CARD,765220380223,4805550065,KRISTIE,COOPER,3924 ELMWOOD AVENUE,PHOENIX,AZ,85003,UNITED STATES
1234576,5179080561458,CC00000011,Null,WEATH MANAGEMENT,7510525336786,8085558139,SOO,CHRISTENSON,4996 ARRON SMITH DRIVE,HONOLULU,HI,96814,UNITED STATES
1234577,5189410433475,CC00000012,1910,CARD,9314259531231,Null,APRIL,SANCHEZ,10623 N OSCEOLA DR,WESTMINSTER,CO,80031,UNITED STATES
1234578,51790005549197,CC00000013,166,MORGAGE,34560000053,Null,SEE,SAMM,3323 BALCONES DR,IRVING,TX,75063,UNITED STATES
1234579,9100057952612,CC00000014,Null,CORPORATE,3685820105756,2485556850,VANESSA,WILLIAMSON,2967 CORPENING DRIVE,PONTIAC,MI,48342,UNITED STATES
